Coordinates of each core in this modulation:
x1	y1	x2	y2
23.7827	18.4104	100	20
33.7827	27.6741	107.733	35.8063
43.7827	36.5458	115.466	51.2206
53.7827	45.0255	123.199	66.2429
63.7827	53.1132	130.932	80.8732
73.7827	60.809	138.665	95.1115
83.7827	68.1127	146.399	108.958
93.7827	75.0244	154.132	122.412
103.783	81.5441	161.865	135.474
113.783	87.6718	169.598	148.145
123.783	93.4076	177.331	160.423
133.783	98.7513	185.064	172.309
143.783	103.703	192.797	183.804
153.783	108.263	200.53	194.906
163.783	112.43	208.263	205.616
173.783	116.206	215.996	215.934
183.783	119.59	223.73	225.861
193.783	122.582	231.463	235.395
203.783	125.181	239.196	244.537
213.783	127.389	246.929	253.288
223.783	129.205	254.662	261.646
233.783	130.628	262.395	269.612
243.783	131.66	270.128	277.187
253.783	132.3	277.861	284.369
263.783	132.548	285.594	291.159
273.783	132.403	293.327	297.557
283.783	131.867	301.06	303.564
293.783	130.939	308.794	309.178
303.783	129.618	316.527	314.4
313.783	127.906	324.26	319.231
323.783	125.802	331.993	323.669
333.783	123.306	339.726	327.715
343.783	120.417	347.459	331.37
353.783	117.137	355.192	334.632
363.783	113.465	362.925	337.502
373.783	109.401	370.658	339.98
383.783	104.944	378.391	342.067
393.783	100.096	386.124	343.761
403.783	94.8557	393.858	345.063
413.783	89.2234	401.591	345.974
423.783	83.1991	409.324	346.492
433.783	76.7828	417.057	346.618
443.783	69.9745	424.79	346.353
453.783	62.7743	432.523	345.695
463.783	55.182	440.256	344.645
473.783	47.1977	447.989	343.203
483.783	38.8214	455.722	341.37
493.783	30.0531	463.455	339.144
503.783	20.8928	471.189	336.526
513.783	11.3406	478.922	333.517
523.783	1.39629	486.655	330.115
533.783	-8.94	494.388	326.321
533.783	-8.94	502.121	322.135
533.783	-8.94	509.854	317.558
533.783	-8.94	517.587	312.588
533.783	-8.94	525.32	307.226
533.783	-8.94	533.053	301.473
533.783	-8.94	540.786	295.327
533.783	-8.94	548.519	288.789
533.783	-8.94	556.253	281.86
533.783	-8.94	563.986	274.538
533.783	-8.94	571.719	266.824
533.783	-8.94	579.452	258.718
533.783	-8.94	587.185	250.221
533.783	-8.94	594.918	241.331
533.783	-8.94	602.651	232.049
533.783	-8.94	610.384	222.376
533.783	-8.94	618.117	212.31
533.783	-8.94	625.85	201.852
533.783	-8.94	633.583	191.003
533.783	-8.94	641.317	179.761
533.783	-8.94	649.05	168.127
533.783	-8.94	656.783	156.101
533.783	-8.94	664.516	143.684
533.783	-8.94	672.249	130.874
533.783	-8.94	679.982	117.672
533.783	-8.94	687.715	104.079
533.783	-8.94	695.448	90.0929
533.783	-8.94	703.181	75.7152
533.783	-8.94	710.914	60.9455
533.783	-8.94	718.648	45.7838
533.783	-8.94	726.381	30.2301
533.783	-8.94	734.114	14.2844
533.783	-8.94	741.847	-2.05329
533.783	-8.94	741.847	-2.05329
