Coordinates of each core in this modulation:
x1	y1	x2	y2
23.7827	18.4104	100	20
33.7827	27.6741	101.16	29.0793
43.7827	36.5458	102.32	37.7667
53.7827	45.0255	103.48	46.062
63.7827	53.1132	104.639	53.9654
73.7827	60.809	105.799	61.4767
83.7827	68.1127	106.959	68.5961
93.7827	75.0244	108.119	75.3234
103.783	81.5441	109.279	81.6587
113.783	87.6718	110.439	87.6021
123.783	93.4076	111.599	93.1534
133.783	98.7513	112.758	98.3128
143.783	103.703	113.918	103.08
153.783	108.263	115.078	107.455
163.783	112.43	116.238	111.439
173.783	116.206	117.398	115.03
183.783	119.59	118.558	118.229
193.783	122.582	119.718	121.037
203.783	125.181	120.877	123.452
213.783	127.389	122.037	125.476
223.783	129.205	123.197	127.107
233.783	130.628	124.357	128.346
243.783	131.66	125.517	129.194
253.783	132.3	126.677	129.649
263.783	132.548	127.837	129.712
273.783	132.403	128.996	129.384
283.783	131.867	130.156	128.663
293.783	130.939	131.316	127.55
303.783	129.618	132.476	126.046
313.783	127.906	133.636	124.149
323.783	125.802	134.796	121.86
333.783	123.306	135.956	119.18
343.783	120.417	137.116	116.107
353.783	117.137	138.275	112.642
363.783	113.465	139.435	108.786
373.783	109.401	140.595	104.537
383.783	104.944	141.755	99.8964
393.783	100.096	142.915	94.8637
403.783	94.8557	144.075	89.439
413.783	89.2234	145.235	83.6224
423.783	83.1991	146.394	77.4137
433.783	76.7828	147.554	70.8131
443.783	69.9745	148.714	63.8204
453.783	62.7743	149.874	56.4358
463.783	55.182	151.034	48.6591
473.783	47.1977	152.194	40.4904
483.783	38.8214	153.354	31.9298
493.783	30.0531	154.513	22.9771
503.783	20.8928	155.673	13.6325
513.783	11.3406	156.833	3.89582
523.783	1.39629	157.993	-6.23284
533.783	-8.94	157.993	-6.23284
533.783	-8.94	157.993	-6.23284
